,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck,Survived
565,3,1,-0.4385718983222164,1.340131927606843,-0.4736736092984604,-0.1621689579829361,2,8,0
160,3,1,1.100515116484551,-0.47454519624983954,0.7676298785983874,-0.32425318983493084,2,8,0
553,3,1,-0.5924805998028931,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,0,8,0
860,3,1,0.8696520642635358,1.340131927606843,-0.4736736092984604,-0.36435544630444866,2,8,0
241,3,0,0.0,0.4327933656785018,-0.4736736092984604,-0.3363340021468808,1,8,1
559,3,0,0.48488031056184405,0.4327933656785018,-0.4736736092984604,-0.29807809649237277,2,8,0
387,2,0,0.48488031056184405,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,2,8,1
536,1,1,1.1774694672248893,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,2,1,0
698,1,1,1.4852868701862427,0.4327933656785018,0.7676298785983874,1.5841789061771412,0,2,0
99,2,1,0.3309716090811673,0.4327933656785018,-0.4736736092984604,-0.12491978668775715,2,8,0
126,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,1,8,0
333,3,1,-1.0542067042449232,1.340131927606843,-0.4736736092984604,-0.2859972841804228,2,8,0
216,3,0,-0.20770884610120124,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,2,8,0
817,2,1,0.1001085568601522,0.4327933656785018,0.7676298785983874,0.09664633805084172,0,8,0
27,1,1,-0.8233436520239081,2.2474704895351842,2.0089333664952354,4.647001076532463,2,2,0
703,3,1,-0.361617547581878,-0.47454519624983954,-0.4736736092984604,-0.4925449457465493,1,8,0
485,3,0,0.0,2.2474704895351842,0.7676298785983874,-0.13565761536436197,2,8,0
511,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,2,8,0
433,3,1,-0.977252353504585,-0.47454519624983954,-0.4736736092984604,-0.5049620073345151,2,8,0
576,2,0,0.3309716090811673,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,2,8,1
87,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,2,8,0
580,2,0,-0.361617547581878,0.4327933656785018,0.7676298785983874,-0.04438103794142432,2,8,1
157,3,1,0.02315420611981384,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,2,8,0
279,3,0,0.40792595982150565,0.4327933656785018,0.7676298785983874,-0.24069423801061057,2,8,0
422,3,1,-0.05380014462052453,-0.47454519624983954,-0.4736736092984604,-0.4898609919445778,2,8,0
369,1,0,-0.4385718983222164,-0.47454519624983954,-0.4736736092984604,0.7469121684912956,0,1,1
776,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,1,5,0
712,1,1,1.4083325194459044,0.4327933656785018,-0.4736736092984604,0.39858208016340624,2,2,0
455,3,1,-0.05380014462052453,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,0,8,0
495,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.3573083057891445,0,8,0
758,3,1,0.3309716090811673,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,2,8,0
730,1,0,-0.05380014462052453,-0.47454519624983954,-0.4736736092984604,3.6067927997556075,2,1,1
65,3,1,0.0,0.4327933656785018,0.7676298785983874,-0.3414522396297103,0,8,0
75,3,1,-0.361617547581878,-0.47454519624983954,-0.4736736092984604,-0.494391296561559,2,5,0
489,3,1,-1.5928871594272918,0.4327933656785018,0.7676298785983874,-0.32828012727224753,2,8,0
869,3,1,-1.9776589131289837,0.4327933656785018,0.7676298785983874,-0.4242561406845337,2,8,0
165,3,1,-1.5928871594272918,-0.47454519624983954,2.0089333664952354,-0.2351571990343002,2,8,0
71,3,0,-1.0542067042449232,4.0621476133918675,2.0089333664952354,0.2958951755118318,2,8,0
428,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,1,8,0
417,2,0,-0.9002980027642465,-0.47454519624983954,2.0089333664952354,-0.3866707201133388,2,8,1
745,1,1,3.1013282357333485,0.4327933656785018,0.7676298785983874,0.7811411367084872,2,1,0
297,1,0,-2.1315676146096605,0.4327933656785018,2.0089333664952354,2.4029901895877646,2,2,1
463,2,1,1.4083325194459044,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,2,8,0
84,2,0,-0.977252353504585,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,2,8,1
211,2,0,0.40792595982150565,-0.47454519624983954,-0.4736736092984604,-0.22559322262067316,2,8,1
115,3,1,-0.6694349505432314,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,2,8,0
868,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.45714212526638004,2,8,0
40,3,0,0.7926977135231975,0.4327933656785018,-0.4736736092984604,-0.4576454924460446,2,8,0
644,3,0,-2.2277605530350835,1.340131927606843,0.7676298785983874,-0.26066180729354516,0,8,1
322,2,0,0.02315420611981384,-0.47454519624983954,-0.4736736092984604,-0.3997582667846179,1,8,1
759,1,0,0.25401725834082894,-0.47454519624983954,-0.4736736092984604,1.093228788100527,2,1,1
564,3,0,0.0,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,2,8,0
502,3,0,0.0,-0.47454519624983954,-0.4736736092984604,-0.4948100980550399,1,8,1
17,2,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,2,8,0
679,1,1,0.48488031056184405,-0.47454519624983954,0.7676298785983874,9.667166525013505,0,1,0
401,3,1,-0.2846631968415396,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,2,8,0
639,3,1,0.0,0.4327933656785018,-0.4736736092984604,-0.32425318983493084,2,8,0
701,1,1,0.40792595982150565,-0.47454519624983954,-0.4736736092984604,-0.11913106412161445,2,4,0
106,3,0,-0.6694349505432314,-0.47454519624983954,-0.4736736092984604,-0.494391296561559,2,8,0
447,1,1,0.3309716090811673,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,2,8,0
578,3,0,0.0,0.4327933656785018,-0.4736736092984604,-0.3573083057891445,0,8,1
472,2,0,0.25401725834082894,0.4327933656785018,2.0089333664952354,-0.08968408411123653,2,8,1
764,3,1,-1.0542067042449232,-0.47454519624983954,-0.4736736092984604,-0.4918744606632361,2,8,0
397,2,1,1.2544238179652276,-0.47454519624983954,-0.4736736092984604,-0.12491978668775715,2,8,0
690,1,1,0.1001085568601522,0.4327933656785018,-0.4736736092984604,0.49925551609632224,2,1,0
38,3,0,-0.9002980027642465,1.340131927606843,-0.4736736092984604,-0.2859972841804228,2,8,0
375,1,0,0.0,0.4327933656785018,-0.4736736092984604,1.0060617003323709,0,8,1
752,3,1,0.25401725834082894,-0.47454519624983954,-0.4736736092984604,-0.45714212526638004,2,8,0
625,1,1,2.4087390790703034,-0.47454519624983954,-0.4736736092984604,0.002347544081197954,2,3,0
864,2,1,-0.4385718983222164,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,2,8,0
275,1,0,2.56264778055098,0.4327933656785018,-0.4736736092984604,0.921244330558889,2,3,1
773,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,0,8,0
593,3,0,0.0,-0.47454519624983954,2.0089333664952354,-0.49237782784290063,1,8,1
504,1,0,-1.0542067042449232,-0.47454519624983954,-0.4736736092984604,1.093228788100527,2,1,1
239,2,1,0.25401725834082894,-0.47454519624983954,-0.4736736092984604,-0.4012683683236117,2,8,0
153,3,1,0.8311748888933667,-0.47454519624983954,2.0089333664952354,-0.35646868933346404,2,8,0
614,3,1,0.40792595982150565,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,2,8,0
442,3,1,-0.361617547581878,0.4327933656785018,-0.4736736092984604,-0.4918744606632361,2,8,0
180,3,0,0.0,6.784163299176891,2.0089333664952354,0.7519458402879414,2,8,0
634,3,0,-1.5928871594272918,2.2474704895351842,2.0089333664952354,-0.08666388103324908,2,8,0
386,3,1,-2.208521965349999,4.0621476133918675,2.0089333664952354,0.2958951755118318,2,8,0
244,3,1,0.02315420611981384,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,0,8,0
749,3,1,0.1001085568601522,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,1,8,0
162,3,1,-0.2846631968415396,-0.47454519624983954,-0.4736736092984604,-0.4918744606632361,2,8,0
501,3,0,-0.6694349505432314,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,1,8,1
92,1,1,1.2544238179652276,0.4327933656785018,-0.4736736092984604,0.5833178351003071,2,4,0
714,2,1,1.7161499224072578,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,2,8,0
431,3,0,0.0,0.4327933656785018,-0.4736736092984604,-0.32425318983493084,2,8,0
452,1,1,0.02315420611981384,-0.47454519624983954,-0.4736736092984604,-0.08968408411123653,0,2,0
853,1,0,-1.0542067042449232,-0.47454519624983954,0.7676298785983874,0.14488502161245778,2,3,1
55,1,1,0.0,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,2,2,0
351,1,1,0.0,-0.47454519624983954,-0.4736736092984604,0.05629239799149171,2,2,0
570,2,1,2.4856934298106417,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,2,8,0
29,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,2,8,0
62,1,1,1.1774694672248893,0.4327933656785018,-0.4736736092984604,1.0323213593611125,2,2,0
596,2,0,0.0,-0.47454519624983954,-0.4736736092984604,0.016023023618325298,2,8,1
458,2,0,1.5622412209265812,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,2,8,1
459,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,1,8,0
4,3,1,0.40792595982150565,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,2,8,0
271,3,1,-0.361617547581878,-0.47454519624983954,-0.4736736092984604,-0.6484216535389205,2,8,0
252,1,1,2.4856934298106417,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,2,2,0
341,1,0,-0.4385718983222164,2.2474704895351842,2.0089333664952354,4.647001076532463,2,2,1
82,3,0,0.0,-0.47454519624983954,-0.4736736092984604,-0.49162277707340374,1,8,1
9,2,0,-1.2081154057256,0.4327933656785018,-0.4736736092984604,-0.04295550208861426,0,8,1
810,3,1,-0.2846631968415396,-0.47454519624983954,-0.4736736092984604,-0.4896093083547455,2,8,0
23,1,1,-0.1307544953608629,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,2,0,0
841,2,1,-1.0542067042449232,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,2,8,0
410,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,2,8,0
566,3,1,-0.8233436520239081,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,2,8,0
245,1,1,1.100515116484551,1.340131927606843,-0.4736736092984604,1.163700193253568,1,2,0
560,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,1,8,0
324,3,1,0.0,6.784163299176891,2.0089333664952354,0.7519458402879414,2,8,0
146,3,1,-0.20770884610120124,-0.47454519624983954,-0.4736736092984604,-0.49145565916975514,2,8,0
659,1,1,2.177876026849288,-0.47454519624983954,2.0089333664952354,1.6323350375212924,0,3,0
571,1,0,1.7931042731475964,1.340131927606843,-0.4736736092984604,0.38809593507663365,2,2,1
196,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,1,8,0
16,3,1,-2.1315676146096605,3.1548090514635256,0.7676298785983874,-0.06199888922968463,1,8,0
138,3,1,-1.0542067042449232,-0.47454519624983954,-0.4736736092984604,-0.4628462821463391,2,8,0
743,3,1,-0.4385718983222164,0.4327933656785018,-0.4736736092984604,-0.32425318983493084,2,8,0
555,1,1,2.4856934298106417,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,2,8,0
105,3,1,-0.1307544953608629,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,2,8,0
726,2,0,0.02315420611981384,2.2474704895351842,-0.4736736092984604,-0.22559322262067316,2,8,1
603,3,1,1.100515116484551,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,2,8,0
541,3,0,-1.5928871594272918,3.1548090514635256,2.0089333664952354,-0.01870931177853076,2,8,0
775,3,1,-0.9002980027642465,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,2,8,0
824,3,1,-2.1315676146096605,3.1548090514635256,0.7676298785983874,0.1506737441786005,2,8,0
336,1,1,-0.05380014462052453,0.4327933656785018,-0.4736736092984604,0.6925485130875209,2,2,0
799,3,0,0.02315420611981384,0.4327933656785018,0.7676298785983874,-0.1621689579829361,2,8,0
676,3,1,-0.4000947229520472,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,2,8,0
607,1,1,-0.20770884610120124,-0.47454519624983954,-0.4736736092984604,-0.034313694348132716,2,8,0
826,3,1,0.0,-0.47454519624983954,-0.4736736092984604,0.48910360681684706,2,8,0
756,3,1,-0.1307544953608629,-0.47454519624983954,-0.4736736092984604,-0.49145565916975514,2,8,0
186,3,0,0.0,0.4327933656785018,-0.4736736092984604,-0.3363340021468808,1,8,1
411,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.5103319284071769,1,8,0
549,2,1,-1.6698415101676303,0.4327933656785018,0.7676298785983874,0.09152810056801232,2,8,0
441,3,1,-0.7463893012835698,-0.47454519624983954,-0.4736736092984604,-0.45714212526638004,2,8,0
435,1,0,-1.2081154057256,0.4327933656785018,2.0089333664952354,1.7677408088510642,2,1,1
790,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,1,8,0
198,3,0,0.0,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,1,8,1
444,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.48507900373776425,2,8,0
671,1,1,0.1001085568601522,0.4327933656785018,-0.4736736092984604,0.39858208016340624,2,1,0
296,3,1,-0.47704907369238553,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,0,8,0
802,1,1,-1.4389784579466152,0.4327933656785018,2.0089333664952354,1.7677408088510642,2,1,0
137,1,1,0.5618346613021824,0.4327933656785018,-0.4736736092984604,0.4207302360686478,2,2,0
532,3,1,-0.977252353504585,0.4327933656785018,0.7676298785983874,-0.5028639729296732,0,8,0
587,1,1,2.3317847283299646,0.4327933656785018,0.7676298785983874,0.9462455716384695,0,1,0
878,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,2,8,0
728,2,1,-0.361617547581878,0.4327933656785018,-0.4736736092984604,-0.12491978668775715,2,8,0
389,2,0,-0.977252353504585,-0.47454519624983954,-0.4736736092984604,-0.40680540729992204,0,8,1
427,2,0,-0.8233436520239081,-0.47454519624983954,-0.4736736092984604,-0.12491978668775715,2,8,1
804,3,1,-0.20770884610120124,-0.47454519624983954,-0.4736736092984604,-0.5079822104125026,2,8,0
731,3,1,-1.4389784579466152,-0.47454519624983954,-0.4736736092984604,-0.2701412180209885,0,8,0
88,1,0,-0.5155262490625547,2.2474704895351842,2.0089333664952354,4.647001076532463,2,2,1
39,3,0,-1.2081154057256,0.4327933656785018,-0.4736736092984604,-0.42207354059350805,0,8,1
492,1,1,1.947012974628273,-0.47454519624983954,-0.4736736092984604,-0.034313694348132716,2,2,0
823,3,0,-0.20770884610120124,-0.47454519624983954,0.7676298785983874,-0.397241430886295,2,4,0
886,2,1,-0.20770884610120124,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,2,8,0
353,3,1,-0.361617547581878,0.4327933656785018,-0.4736736092984604,-0.29002422161773944,2,8,0
685,2,1,-0.361617547581878,0.4327933656785018,2.0089333664952354,0.18876253192945994,0,8,0
11,1,0,2.177876026849288,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,2,2,1
484,1,1,-0.361617547581878,0.4327933656785018,-0.4736736092984604,1.1854295476653287,0,1,0
366,1,0,2.3317847283299646,0.4327933656785018,-0.4736736092984604,0.8667135572514657,0,3,1
300,3,0,0.0,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,1,8,1
879,1,0,2.0239673253686115,-0.47454519624983954,0.7676298785983874,1.0259447039291216,0,2,1
530,2,0,-2.1315676146096605,0.4327933656785018,0.7676298785983874,-0.12491978668775715,2,8,1
293,3,0,-0.4385718983222164,-0.47454519624983954,-0.4736736092984604,-0.4702296719376591,2,8,0
814,3,1,0.061631381489983025,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,2,8,0
515,1,1,1.3313781687055661,-0.47454519624983954,-0.4736736092984604,0.036576512298389464,2,3,0
199,2,0,-0.4385718983222164,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,2,8,1
142,3,0,-0.4385718983222164,0.4327933656785018,-0.4736736092984604,-0.32928686163157667,2,8,0
349,3,1,0.9466064150038742,-0.47454519624983954,-0.4736736092984604,-0.47400492578514347,2,8,0
354,3,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,0,8,0
295,1,1,0.0,-0.47454519624983954,-0.4736736092984604,-0.09027201697708476,0,8,0
143,3,1,-0.8233436520239081,-0.47454519624983954,-0.4736736092984604,-0.5125125150294839,1,8,0
880,2,0,-0.361617547581878,-0.47454519624983954,0.7676298785983874,-0.12491978668775715,2,8,1
91,3,1,-0.7463893012835698,-0.47454519624983954,-0.4736736092984604,-0.4902797934380587,2,8,0
883,2,1,-0.1307544953608629,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,2,8,0
473,2,0,-0.5155262490625547,-0.47454519624983954,-0.4736736092984604,-0.3707300882677209,0,3,1
637,2,1,0.1001085568601522,0.4327933656785018,0.7676298785983874,-0.11988611489111134,2,8,0
